Probabilidad		F(p)
0.000000		0.000000
0.020000		0.000000
0.040000		0.000000
0.060000		0.000000
0.080000		0.000000
0.100000		0.000000
0.120000		0.000000
0.140000		0.000000
0.160000		0.000000
0.180000		0.000000
0.200000		0.000000
0.220000		0.000000
0.240000		0.000000
0.260000		0.000000
0.280000		0.000000
0.300000		0.000000
0.320000		0.000037
0.340000		0.000259
0.360000		0.000556
0.380000		0.000778
0.400000		0.002333
0.420000		0.005815
0.440000		0.012148
0.460000		0.024037
0.480000		0.048222
0.500000		0.085593
0.520000		0.140370
0.540000		0.219185
0.560000		0.324926
0.580000		0.439593
0.600000		0.561593
0.620000		0.684704
0.640000		0.788000
0.660000		0.870111
0.680000		0.924556
0.700000		0.964778
0.720000		0.982185
0.740000		0.993148
0.760000		0.997407
0.780000		0.999148
0.800000		0.999778
0.820000		0.999926
0.840000		1.000000
0.860000		1.000000
0.880000		1.000000
0.900000		1.000000
0.920000		1.000000
0.940000		1.000000
0.960000		1.000000
0.980000		1.000000
