Tamaños		Cantidades
1		5974650
2		1751062
3		1089150
4		726137
5		515811
6		381246
7		292221
8		229918
9		184044
10		150600
11		124041
12		103228
13		86779
14		73686
15		63009
16		53853
17		46669
18		40538
19		34987
20		30759
21		26895
22		23446
23		20575
24		18243
25		15888
26		14136
27		12620
28		11059
29		10181
30		8938
31		8182
32		7193
33		6375
34		5770
35		5147
36		4634
37		4244
38		3838
39		3435
40		2980
41		2821
42		2476
43		2279
44		1976
45		1874
46		1634
47		1531
48		1356
49		1241
50		1140
51		1013
52		948
53		928
54		758
55		687
56		595
57		619
58		531
59		481
60		417
61		363
62		363
63		319
64		303
65		311
66		254
67		235
68		261
69		191
70		195
71		154
72		143
73		137
74		121
75		114
76		93
77		90
78		94
79		89
80		90
81		62
82		55
83		50
84		53
85		52
86		45
87		39
88		34
89		34
90		31
91		31
92		26
93		23
94		23
95		26
96		18
97		17
98		19
99		16
100		5
101		10
102		11
103		13
104		9
105		14
106		12
107		11
108		7
109		7
110		4
111		1
112		8
113		4
114		2
115		3
116		5
117		4
118		2
119		1
120		1
121		2
122		2
123		3
124		1
126		2
127		1
128		1
129		1
130		1
131		2
132		1
133		1
134		2
135		1
136		1
137		1
141		1
145		1
146		1
149		1
