Tamaños		Cantidades
1		7827074
2		1634587
3		968822
4		623115
5		434520
6		316934
7		243830
8		194403
9		156687
10		131617
11		111166
12		94945
13		82362
14		71763
15		63678
16		56867
17		51124
18		46276
19		42037
20		38195
21		35083
22		31917
23		29682
24		27732
25		25466
26		23717
27		21802
28		20625
29		19332
30		17979
31		17220
32		16259
33		15613
34		14678
35		13979
36		13325
37		12663
38		11954
39		11416
40		10748
41		10416
42		9971
43		9758
44		9048
45		8777
46		8369
47		8044
48		7859
49		7643
50		7132
51		6984
52		6815
53		6515
54		6291
55		6167
56		5972
57		5586
58		5598
59		5384
60		5238
61		5194
62		4946
63		4796
64		4567
65		4598
66		4487
67		4371
68		4097
69		4177
70		3889
71		3721
72		3666
73		3672
74		3578
75		3501
76		3433
77		3329
78		3268
79		3201
80		3087
81		3068
82		2981
83		2972
84		2908
85		2774
86		2762
87		2834
88		2637
89		2603
90		2498
91		2434
92		2500
93		2397
94		2359
95		2309
96		2151
97		2153
98		2174
99		2145
100		2081
101		2054
102		2003
103		1963
104		2025
105		1850
106		1893
107		1819
108		1752
109		1773
110		1842
111		1674
112		1678
113		1677
114		1625
115		1678
116		1674
117		1610
118		1579
119		1556
120		1525
121		1513
122		1475
123		1431
124		1423
125		1397
126		1399
127		1337
128		1362
129		1362
130		1291
131		1291
132		1302
133		1246
134		1247
135		1195
136		1102
137		1155
138		1177
139		1124
140		1189
141		1107
142		1139
143		1128
144		1108
145		1058
146		1063
147		1066
148		1049
149		1078
150		993
151		1037
152		989
153		992
154		1012
155		929
156		978
157		987
158		938
159		900
160		870
161		957
162		835
163		897
164		869
165		880
166		877
167		871
168		798
169		785
170		851
171		836
172		824
173		786
174		761
175		734
176		728
177		724
178		761
179		758
180		743
181		697
182		765
183		754
184		700
185		692
186		719
187		688
188		713
189		712
190		691
191		714
192		668
193		685
194		610
195		646
196		618
197		579
198		586
199		610
200		621
201		584
202		602
203		623
204		612
205		611
206		622
207		590
208		527
209		557
210		532
211		561
212		538
213		553
214		547
215		575
216		535
217		539
218		526
219		504
220		521
221		507
222		549
223		516
224		535
225		545
226		497
227		522
228		505
229		455
230		452
231		469
232		495
233		457
234		458
235		477
236		460
237		480
238		432
239		457
240		453
241		424
242		424
243		455
244		453
245		444
246		427
247		436
248		410
249		421
250		386
251		411
252		438
253		417
254		381
255		427
256		372
257		384
258		398
259		391
260		362
261		374
262		381
263		392
264		391
265		393
266		366
267		356
268		371
269		371
270		392
271		338
272		357
273		372
274		362
275		347
276		382
277		389
278		338
279		354
280		368
281		329
282		336
283		384
284		318
285		352
286		299
287		346
288		335
289		318
290		310
291		334
292		319
293		309
294		315
295		309
296		301
297		331
298		314
299		324
300		320
301		289
302		317
303		325
304		296
305		288
306		272
307		271
308		282
309		261
310		286
311		269
312		269
313		278
314		311
315		268
316		283
317		282
318		290
319		286
320		280
321		260
322		271
323		265
324		255
325		288
326		224
327		231
328		257
329		296
330		256
331		282
332		247
333		259
334		292
335		237
336		237
337		245
338		227
339		257
340		249
341		275
342		208
343		247
344		235
345		217
346		232
347		240
348		253
349		241
350		260
351		245
352		231
353		249
354		218
355		207
356		217
357		208
358		238
359		221
360		202
361		233
362		200
363		219
364		245
365		240
366		183
367		208
368		244
369		204
370		207
371		181
372		216
373		201
374		196
375		215
376		221
377		227
378		190
379		218
380		201
381		194
382		219
383		187
384		190
385		216
386		208
387		207
388		193
389		179
390		183
391		201
392		219
393		202
394		191
395		182
396		155
397		206
398		166
399		205
400		173
401		150
402		158
403		168
404		198
405		182
406		173
407		183
408		162
409		170
410		178
411		169
412		170
413		160
414		159
415		187
416		166
417		164
418		167
419		168
420		179
421		189
422		164
423		181
424		191
425		181
426		151
427		157
428		175
429		156
430		184
431		160
432		166
433		168
434		140
435		187
436		186
437		157
438		149
439		129
440		157
441		172
442		156
443		140
444		158
445		149
446		139
447		132
448		167
449		163
450		162
451		147
452		157
453		155
454		184
455		125
456		143
457		137
458		136
459		141
460		129
461		147
462		158
463		156
464		153
465		168
466		136
467		129
468		167
469		154
470		127
471		139
472		125
473		130
474		153
475		149
476		150
477		134
478		138
479		141
480		143
481		127
482		135
483		129
484		133
485		141
486		136
487		118
488		144
489		125
490		133
491		132
492		134
493		136
494		138
495		144
496		126
497		117
498		126
499		133
500		139
501		124
502		130
503		124
504		130
505		131
506		136
507		116
508		140
509		104
510		126
511		116
512		111
513		110
514		122
515		129
516		146
517		124
518		118
519		115
520		123
521		143
522		102
523		127
524		133
525		124
526		130
527		129
528		103
529		122
530		118
531		108
532		122
533		112
534		113
535		109
536		102
537		103
538		106
539		119
540		117
541		109
542		121
543		95
544		101
545		122
546		115
547		115
548		95
549		103
550		95
551		98
552		115
553		115
554		109
555		84
556		100
557		99
558		110
559		109
560		101
561		103
562		84
563		90
564		98
565		103
566		118
567		97
568		117
569		99
570		116
571		99
572		82
573		108
574		91
575		106
576		100
577		96
578		95
579		92
580		96
581		110
582		99
583		101
584		98
585		92
586		98
587		100
588		97
589		89
590		94
591		98
592		96
593		100
594		108
595		102
596		88
597		96
598		94
599		97
600		77
601		103
602		106
603		98
604		77
605		96
606		105
607		97
608		91
609		110
610		102
611		89
612		77
613		93
614		85
615		91
616		99
617		96
618		79
619		86
620		79
621		88
622		92
623		69
624		88
625		79
626		84
627		86
628		90
629		98
630		98
631		75
632		83
633		106
634		71
635		73
636		83
637		75
638		87
639		91
640		79
641		81
642		69
643		93
644		81
645		78
646		81
647		76
648		101
649		89
650		72
651		80
652		71
653		79
654		70
655		72
656		73
657		70
658		80
659		70
660		83
661		81
662		82
663		78
664		79
665		70
666		82
667		78
668		83
669		64
670		72
671		85
672		83
673		75
674		73
675		80
676		72
677		80
678		71
679		73
680		71
681		71
682		89
683		77
684		90
685		67
686		72
687		72
688		81
689		86
690		71
691		60
692		76
693		88
694		67
695		72
696		78
697		83
698		59
699		76
700		71
701		71
702		87
703		67
704		69
705		76
706		78
707		70
708		64
709		79
710		65
711		73
712		77
713		62
714		73
715		72
716		83
717		67
718		66
719		71
720		68
721		55
722		80
723		69
724		62
725		68
726		62
727		67
728		69
729		69
730		68
731		75
732		70
733		67
734		64
735		40
736		67
737		68
738		70
739		76
740		62
741		62
742		53
743		77
744		54
745		71
746		60
747		62
748		62
749		60
750		89
751		71
752		58
753		61
754		71
755		66
756		56
757		59
758		76
759		57
760		63
761		54
762		41
763		66
764		51
765		65
766		66
767		48
768		60
769		65
770		50
771		66
772		64
773		73
774		53
775		60
776		57
777		66
778		60
779		74
780		65
781		59
782		78
783		63
784		50
785		67
786		47
787		60
788		67
789		72
790		72
791		51
792		55
793		44
794		49
795		56
796		60
797		61
798		54
799		66
800		52
801		68
802		66
803		50
804		55
805		53
806		61
807		59
808		61
809		60
810		63
811		72
812		57
813		49
814		65
815		60
816		61
817		64
818		54
819		60
820		59
821		46
822		36
823		60
824		61
825		57
826		42
827		57
828		53
829		47
830		48
831		52
832		46
833		51
834		57
835		51
836		54
837		66
838		69
839		62
840		50
841		39
842		51
843		51
844		54
845		53
846		55
847		50
848		46
849		56
850		54
851		43
852		50
853		53
854		45
855		55
856		55
857		55
858		57
859		47
860		52
861		50
862		59
863		50
864		46
865		56
866		49
867		45
868		47
869		61
870		42
871		60
872		54
873		58
874		61
875		41
876		65
877		45
878		56
879		50
880		50
881		46
882		40
883		46
884		64
885		50
886		49
887		44
888		46
889		48
890		52
891		50
892		57
893		61
894		44
895		48
896		61
897		33
898		56
899		49
900		40
901		43
902		61
903		51
904		38
905		53
906		53
907		38
908		35
909		54
910		36
911		47
912		47
913		52
914		50
915		39
916		47
917		44
918		46
919		37
920		40
921		49
922		46
923		50
924		44
925		47
926		54
927		30
928		39
929		49
930		31
931		45
932		32
933		42
934		35
935		51
936		46
937		30
938		50
939		40
940		37
941		35
942		50
943		41
944		40
945		47
946		33
947		42
948		41
949		52
950		54
951		39
952		35
953		58
954		37
955		41
956		56
957		47
958		47
959		47
960		50
961		36
962		53
963		52
964		34
965		30
966		36
967		27
968		38
969		36
970		41
971		39
972		40
973		37
974		35
975		47
976		48
977		39
978		40
979		38
980		38
981		32
982		37
983		35
984		39
985		44
986		37
987		39
988		40
989		44
990		54
991		52
992		52
993		38
994		38
995		40
996		35
997		39
998		39
999		44
1000		40
1001		39
1002		32
1003		47
1004		29
1005		38
1006		43
1007		42
1008		44
1009		31
1010		47
1011		42
1012		39
1013		40
1014		42
1015		45
1016		41
1017		31
1018		44
1019		43
1020		46
1021		36
1022		36
1023		36
1024		36
1025		53
1026		52
1027		45
1028		39
1029		39
1030		35
1031		38
1032		41
1033		41
1034		25
1035		44
1036		41
1037		39
1038		51
1039		38
1040		26
1041		35
1042		47
1043		32
1044		49
1045		31
1046		38
1047		44
1048		36
1049		32
1050		47
1051		37
1052		36
1053		32
1054		42
1055		43
1056		40
1057		38
1058		27
1059		38
1060		32
1061		37
1062		39
1063		32
1064		42
1065		42
1066		34
1067		35
1068		35
1069		34
1070		35
1071		37
1072		37
1073		41
1074		32
1075		38
1076		32
1077		35
1078		39
1079		37
1080		51
1081		31
1082		30
1083		40
1084		33
1085		43
1086		33
1087		44
1088		23
1089		32
1090		50
1091		45
1092		38
1093		39
1094		26
1095		34
1096		30
1097		26
1098		40
1099		50
1100		41
1101		39
1102		30
1103		25
1104		38
1105		45
1106		36
1107		36
1108		25
1109		34
1110		27
1111		38
1112		33
1113		37
1114		37
1115		41
1116		34
1117		43
1118		33
1119		38
1120		38
1121		28
1122		38
1123		32
1124		31
1125		45
1126		35
1127		30
1128		40
1129		28
1130		34
1131		23
1132		36
1133		25
1134		33
1135		31
1136		30
1137		37
1138		30
1139		27
1140		38
1141		34
1142		42
1143		37
1144		29
1145		36
1146		28
1147		33
1148		31
1149		29
1150		43
1151		29
1152		24
1153		42
1154		34
1155		36
1156		25
1157		29
1158		35
1159		29
1160		52
1161		41
1162		32
1163		29
1164		30
1165		38
1166		37
1167		31
1168		33
1169		33
1170		35
1171		26
1172		27
1173		31
1174		30
1175		37
1176		30
1177		31
1178		42
1179		41
1180		30
1181		34
1182		27
1183		29
1184		32
1185		36
1186		42
1187		26
1188		28
1189		33
1190		34
1191		29
1192		41
1193		31
1194		38
