Tamaños		Cantidades
1		7553255
2		1557309
3		916912
4		588509
5		407984
6		298151
7		228575
8		180787
9		146417
10		121440
11		102846
12		87495
13		75662
14		66288
15		58521
16		52347
17		46652
18		42451
19		38053
20		34880
21		31705
22		29162
23		26993
24		25102
25		23279
26		21722
27		20238
28		18808
29		17594
30		16624
31		15418
32		14591
33		13974
34		13248
35		12330
36		11778
37		11366
38		10706
39		10316
40		9725
41		9149
42		8789
43		8604
44		8059
45		7762
46		7471
47		7237
48		7050
49		6594
50		6513
51		6207
52		6039
53		5747
54		5668
55		5417
56		5198
57		5009
58		4902
59		4764
60		4575
61		4503
62		4321
63		4258
64		4130
65		3891
66		3859
67		3846
68		3746
69		3641
70		3447
71		3399
72		3348
73		3183
74		3149
75		2976
76		2962
77		2963
78		2940
79		2863
80		2729
81		2757
82		2606
83		2512
84		2449
85		2459
86		2297
87		2344
88		2327
89		2236
90		2191
91		2135
92		2105
93		2039
94		1987
95		2012
96		1990
97		1918
98		1876
99		1829
100		1845
101		1799
102		1692
103		1755
104		1702
105		1781
106		1566
107		1580
108		1533
109		1534
110		1495
111		1510
112		1438
113		1429
114		1394
115		1449
116		1393
117		1388
118		1372
119		1279
120		1269
121		1330
122		1271
123		1266
124		1226
125		1269
126		1244
127		1169
128		1153
129		1119
130		1099
131		1086
132		1066
133		1052
134		1060
135		1072
136		1035
137		1067
138		1026
139		1043
140		1025
141		971
142		962
143		969
144		942
145		908
146		913
147		884
148		906
149		880
150		893
151		820
152		821
153		834
154		814
155		810
156		841
157		837
158		744
159		806
160		801
161		750
162		801
163		788
164		792
165		671
166		688
167		726
168		727
169		662
170		735
171		685
172		718
173		679
174		645
175		665
176		645
177		649
178		641
179		628
180		644
181		646
182		626
183		618
184		646
185		652
186		635
187		621
188		549
189		604
190		586
191		544
192		547
193		507
194		562
195		519
196		544
197		535
198		563
199		484
200		539
201		505
202		498
203		533
204		471
205		547
206		492
207		478
208		474
209		487
210		472
211		491
212		484
213		474
214		485
215		502
216		433
217		484
218		434
219		458
220		440
221		425
222		413
223		408
224		435
225		448
226		453
227		406
228		411
229		410
230		412
231		403
232		427
233		372
234		387
235		453
236		395
237		375
238		388
239		377
240		374
241		344
242		353
243		361
244		374
245		369
246		349
247		359
248		365
249		379
250		338
251		339
252		361
253		323
254		340
255		356
256		344
257		316
258		355
259		304
260		333
261		346
262		318
263		331
264		341
265		308
266		320
267		311
268		294
269		289
270		332
271		315
272		311
273		276
274		322
275		303
276		275
277		312
278		311
279		293
280		292
281		315
282		267
283		270
284		281
285		295
286		250
287		271
288		277
289		263
290		298
291		260
292		267
293		265
294		279
295		249
296		244
297		250
298		272
299		271
300		238
301		271
302		279
303		266
304		278
305		262
306		231
307		253
308		246
309		259
310		238
311		245
312		246
313		230
314		232
315		239
316		247
317		245
318		258
319		241
320		218
321		244
322		228
323		229
324		231
325		228
326		205
327		214
328		206
329		230
330		220
331		200
332		220
333		207
334		221
335		206
336		199
337		214
338		223
339		228
340		199
341		201
342		214
343		196
344		220
345		204
346		223
347		216
348		187
349		208
350		183
351		202
352		196
353		192
354		200
355		175
356		163
357		181
358		174
359		190
360		214
361		177
362		185
363		184
364		168
365		152
366		202
367		188
368		170
369		157
370		190
371		176
372		178
373		199
374		148
375		193
376		195
377		177
378		159
379		182
380		150
381		160
382		156
383		195
384		173
385		166
386		150
387		166
388		160
389		189
390		171
391		182
392		177
393		173
394		152
395		144
396		155
397		169
398		193
399		152
400		161
401		143
402		155
403		156
404		166
405		141
406		156
407		114
408		149
409		154
410		133
411		157
412		162
413		130
414		125
415		120
416		140
417		140
418		145
419		158
420		158
421		135
422		133
423		128
424		156
425		146
426		139
427		141
428		134
429		149
430		134
431		140
432		162
433		128
434		144
435		144
436		129
437		148
438		128
439		130
440		137
441		144
442		122
443		131
444		115
445		150
446		134
447		146
448		122
449		119
450		122
451		120
452		117
453		141
454		101
455		121
456		137
457		137
458		117
459		156
460		122
461		127
462		131
463		127
464		117
465		98
466		123
467		129
468		111
469		120
470		120
471		107
472		114
473		128
474		134
475		96
476		128
477		114
478		107
479		108
480		112
481		125
482		112
483		111
484		112
485		124
486		112
487		107
488		109
489		95
490		126
491		96
492		114
493		97
494		113
495		90
496		101
497		97
498		111
499		97
500		100
501		105
502		105
503		110
504		99
505		85
506		104
507		106
508		122
509		88
510		103
511		102
512		119
513		88
514		94
515		98
516		95
517		112
518		113
519		92
520		107
521		88
522		103
523		96
524		85
525		91
526		100
527		92
528		109
529		84
530		104
531		78
532		98
533		102
534		101
535		92
536		81
537		92
538		89
539		98
540		91
541		95
542		98
543		85
544		95
545		100
546		85
547		110
548		89
549		88
550		98
551		85
552		92
553		70
554		104
555		86
556		92
557		83
558		92
559		77
560		103
561		96
562		90
563		84
564		90
565		88
566		91
567		91
568		92
569		105
570		88
571		76
572		88
573		79
574		80
575		81
576		89
577		73
578		79
579		83
580		66
581		85
582		76
583		74
584		71
585		79
586		71
587		77
588		80
589		64
590		93
591		74
592		81
593		73
594		73
595		62
596		70
597		69
598		66
599		72
600		83
601		70
602		73
603		89
604		78
605		80
606		71
607		72
608		71
609		60
610		79
611		79
612		82
613		74
614		72
615		69
616		66
617		68
618		73
619		75
620		71
621		63
622		71
623		60
624		62
625		68
626		78
627		73
628		58
629		56
630		65
631		68
632		47
633		98
634		84
635		71
636		64
637		62
638		71
639		79
640		77
641		83
642		71
643		60
644		60
645		65
646		62
647		76
648		66
649		58
650		55
651		67
652		74
653		62
654		73
655		71
656		69
657		67
658		61
659		60
660		78
661		59
662		74
663		68
664		63
665		64
666		60
667		57
668		59
669		59
670		73
671		71
672		68
673		70
674		60
675		58
676		56
677		65
678		40
679		63
680		55
681		69
682		68
683		60
684		54
685		56
686		67
687		73
688		58
689		72
690		54
691		44
692		66
693		60
694		57
695		44
696		64
697		53
698		67
699		63
700		47
701		62
702		52
703		68
704		63
705		68
706		59
707		53
708		61
709		49
710		56
711		53
712		52
713		43
714		57
715		44
716		52
717		58
718		61
719		49
720		44
721		48
722		44
723		61
724		48
725		51
726		58
727		66
728		59
729		69
730		51
731		55
732		55
733		54
734		49
735		77
736		62
737		69
738		52
739		53
740		42
741		43
742		65
743		48
744		51
745		57
746		56
747		58
748		51
749		56
750		56
751		44
752		46
753		52
754		42
755		56
756		49
757		58
758		60
759		58
760		59
761		46
762		59
763		61
764		56
765		56
766		49
767		48
768		52
769		48
770		50
771		47
772		55
773		41
774		53
775		46
776		48
777		66
778		51
779		49
780		45
781		72
782		42
783		41
784		53
785		48
786		42
787		41
788		50
789		49
790		52
791		46
792		36
793		75
794		56
795		47
796		45
797		42
798		44
799		49
800		53
801		42
802		54
803		55
804		53
805		43
806		44
807		48
808		45
809		47
810		50
811		52
812		38
813		51
814		49
815		48
816		39
817		46
818		47
819		51
820		48
821		38
822		55
823		42
824		50
825		59
826		57
827		60
828		45
829		40
830		38
831		38
832		44
833		58
834		45
835		51
836		43
837		46
838		37
839		38
840		31
841		55
842		42
843		49
844		32
845		48
846		45
847		46
848		44
849		40
850		43
851		35
852		28
853		35
854		39
855		32
856		38
857		38
858		29
859		42
860		54
861		40
862		40
863		42
864		51
865		39
866		52
867		45
868		43
869		42
870		34
871		43
872		37
873		37
874		49
875		46
876		44
877		48
878		40
879		36
880		35
881		58
882		47
883		43
884		47
885		38
886		52
887		45
888		46
889		43
890		43
891		33
892		48
893		30
894		38
895		38
896		45
897		38
898		48
899		30
900		47
901		38
902		44
903		36
904		42
905		34
906		41
907		38
908		34
909		39
910		46
911		31
912		42
913		37
914		28
915		29
916		43
917		48
918		40
919		36
920		30
921		36
922		32
923		48
924		55
925		33
926		45
927		55
928		42
929		37
930		33
931		38
932		41
933		41
934		45
935		39
936		42
937		33
938		37
939		35
940		39
941		27
942		21
943		40
944		35
945		42
946		41
947		36
948		20
949		33
950		32
951		38
952		33
953		32
954		32
955		34
956		40
957		34
958		38
959		43
960		37
961		38
962		28
963		34
964		26
965		34
966		36
967		38
968		33
969		34
970		42
971		38
972		34
973		38
974		42
975		40
976		39
977		27
978		28
979		29
980		35
981		41
982		34
983		37
984		30
985		20
986		24
987		40
988		30
989		39
990		41
991		36
992		39
993		33
994		41
995		33
996		31
997		38
998		35
999		34
1000		31
1001		43
1002		34
1003		39
1004		31
1005		34
1006		36
1007		29
1008		33
1009		42
1010		25
1011		41
1012		27
1013		43
1014		34
1015		38
1016		35
1017		35
1018		35
1019		29
1020		29
1021		21
1022		33
1023		26
1024		30
1025		38
1026		31
1027		32
1028		31
1029		33
1030		45
1031		32
1032		32
1033		33
1034		39
1035		27
1036		35
1037		32
1038		31
1039		42
1040		30
1041		26
1042		29
1043		31
1044		32
1045		20
1046		36
1047		28
1048		28
1049		42
1050		29
1051		28
1052		25
1053		33
1054		28
1055		29
1056		28
1057		29
1058		32
1059		36
1060		28
1061		28
1062		19
1063		29
1064		19
1065		35
1066		31
1067		36
1068		36
1069		32
1070		36
1071		35
1072		25
1073		24
1074		20
1075		29
1076		26
1077		33
1078		31
1079		36
1080		26
1081		34
1082		32
1083		31
1084		38
1085		32
1086		35
1087		26
1088		15
1089		24
1090		31
1091		27
1092		29
1093		29
1094		32
1095		28
1096		26
1097		25
1098		27
1099		25
1100		31
1101		25
1102		29
1103		39
1104		30
1105		30
1106		29
1107		19
1108		21
1109		24
1110		28
1111		32
1112		36
1113		34
1114		22
1115		31
1116		28
1117		27
1118		25
1119		23
1120		31
1121		28
1122		36
1123		20
1124		15
1125		27
1126		32
1127		30
1128		23
1129		31
1130		31
1131		15
1132		32
1133		29
1134		29
1135		29
1136		30
1137		25
1138		37
1139		27
1140		27
1141		26
1142		29
1143		21
1144		26
1145		32
1146		28
1147		23
1148		24
1149		23
1150		23
1151		26
1152		21
1153		22
1154		18
1155		33
1156		24
1157		20
1158		35
1159		27
1160		25
1161		22
1162		28
1163		23
1164		22
1165		22
1166		23
1167		27
1168		26
1169		28
1170		33
1171		35
1172		29
1173		25
1174		24
1175		29
1176		20
1177		30
1178		38
1179		27
1180		20
1181		26
1182		15
1183		28
1184		21
1185		29
1186		33
1187		16
1188		23
1189		19
1190		18
1191		17
1192		14
1193		23
1194		22
1195		28
1196		27
1197		22
1198		27
1199		15
1200		29
1201		25
1202		23
1203		26
1204		26
1205		24
1206		30
1207		17
1208		26
1209		20
1210		20
1211		35
1212		19
1213		27
1214		24
1215		19
1216		20
1217		22
1218		12
1219		30
1220		32
1221		22
1222		28
1223		26
1224		26
1225		22
1226		24
1227		24
1228		25
1229		19
1230		18
1231		21
1232		21
1233		20
1234		25
1235		23
1236		21
1237		24
1238		26
1239		26
1240		19
1241		18
1242		21
1243		16
1244		24
1245		22
1246		15
1247		22
1248		27
1249		23
1250		25
1251		22
1252		22
1253		16
1254		19
1255		23
1256		19
1257		24
1258		14
1259		17
1260		17
1261		28
1262		26
1263		19
1264		26
1265		24
1266		32
1267		17
1268		24
1269		17
1270		15
1271		26
1272		22
1273		22
1274		20
1275		23
1276		19
1277		13
1278		11
1279		22
1280		26
1281		22
1282		21
1283		30
1284		15
1285		16
1286		18
1287		19
1288		13
1289		12
1290		21
1291		29
1292		27
1293		24
1294		29
1295		20
1296		24
1297		17
1298		24
1299		17
1300		23
1301		25
1302		22
1303		16
1304		22
1305		27
1306		20
1307		20
1308		21
1309		21
1310		25
1311		19
1312		23
1313		19
1314		14
1315		20
1316		25
1317		18
1318		21
1319		27
1320		16
1321		28
1322		18
1323		27
1324		23
1325		19
1326		20
1327		22
1328		25
1329		17
1330		24
1331		21
1332		25
1333		23
1334		17
1335		13
1336		20
1337		13
1338		25
1339		28
1340		14
1341		21
1342		27
1343		18
1344		20
1345		25
1346		16
1347		29
1348		21
1349		29
1350		26
1351		21
1352		18
1353		27
1354		11
1355		17
1356		17
1357		23
1358		20
1359		21
1360		11
1361		23
1362		20
1363		25
1364		21
1365		24
1366		21
1367		24
1368		23
1369		16
1370		14
1371		19
1372		15
1373		26
1374		11
1375		22
1376		23
1377		24
1378		26
1379		20
1380		16
1381		17
1382		27
1383		20
1384		18
1385		13
1386		17
1387		20
1388		21
1389		14
1390		19
1391		31
1392		26
1393		17
1394		22
1395		25
1396		18
1397		18
1398		18
1399		17
1400		23
1401		16
1402		16
1403		16
1404		19
1405		19
1406		24
1407		17
1408		26
1409		9
1410		25
1411		16
1412		17
1413		16
1414		17
1415		17
1416		16
1417		17
1418		20
1419		14
1420		13
1421		14
1422		18
1423		25
1424		18
1425		22
1426		12
1427		19
1428		18
1429		18
1430		14
1431		14
1432		18
1433		13
1434		20
1435		13
1436		22
1437		17
1438		23
1439		24
1440		8
1441		19
1442		17
1443		14
1444		18
1445		20
1446		18
1447		19
1448		17
1449		20
1450		18
1451		15
1452		20
1453		16
1454		21
1455		18
1456		22
1457		12
1458		20
1459		21
1460		11
1461		22
1462		18
1463		27
1464		17
1465		13
1466		23
1467		25
1468		14
1469		18
1470		22
1471		21
1472		17
1473		11
1474		19
1475		18
1476		17
1477		13
1478		21
1479		15
1480		6
1481		14
1482		20
1483		18
1484		18
1485		9
1486		21
1487		18
1488		9
1489		20
