Tamaños		Cantidades
1		9660244
2		2170543
3		1316759
4		870287
5		617129
6		459149
7		357743
8		287735
9		236837
10		199390
11		170220
12		147378
13		128022
14		114256
15		101557
16		90917
17		82536
18		74537
19		68313
20		62627
21		57817
22		54032
23		49847
24		46085
25		43485
26		40683
27		38183
28		35814
29		33678
30		31988
31		30055
32		28648
33		27132
34		25726
35		24670
36		23420
37		22348
38		21295
39		20465
40		19647
41		18788
42		17987
43		17206
44		16842
45		16220
46		15447
47		14962
48		14351
49		13854
50		13428
51		13044
52		12543
53		12209
54		11825
55		11521
56		11090
57		10756
58		10293
59		10158
60		9845
61		9629
62		9231
63		9005
64		8918
65		8567
66		8240
67		8163
68		8129
69		7732
70		7385
71		7467
72		7211
73		7169
74		6954
75		6842
76		6552
77		6634
78		6369
79		6145
80		5996
81		5874
82		5829
83		5696
84		5505
85		5392
86		5323
87		5289
88		5186
89		5060
90		4972
91		4705
92		4814
93		4703
94		4583
95		4389
96		4400
97		4334
98		4406
99		4207
100		4060
101		4096
102		3925
103		3943
104		3800
105		3802
106		3717
107		3699
108		3552
109		3508
110		3519
111		3458
112		3366
113		3452
114		3335
115		3208
116		3200
117		3080
118		3152
119		3020
120		3035
121		2955
122		2946
123		2891
124		2806
125		2782
126		2800
127		2835
128		2778
129		2623
130		2631
131		2544
132		2563
133		2477
134		2454
135		2411
136		2487
137		2367
138		2407
139		2312
140		2342
141		2345
142		2202
143		2322
144		2284
145		2186
146		2177
147		2128
148		2066
149		2108
150		2079
151		2055
152		2054
153		1959
154		1863
155		1920
156		1941
157		1842
158		1887
159		1848
160		1873
161		1807
162		1825
163		1759
164		1792
165		1775
166		1733
167		1780
168		1688
169		1692
170		1649
171		1683
172		1586
173		1532
174		1542
175		1580
176		1564
177		1518
178		1450
179		1505
180		1464
181		1543
182		1444
183		1411
184		1440
185		1499
186		1417
187		1378
188		1403
189		1327
190		1370
191		1376
192		1353
193		1350
194		1315
195		1346
196		1287
197		1273
198		1305
199		1214
200		1159
201		1216
202		1153
203		1225
204		1159
205		1202
206		1171
207		1187
208		1140
209		1133
210		1105
211		1080
212		1086
213		1130
214		1080
215		1080
216		1083
217		1118
218		1061
219		1096
220		1050
221		1002
222		1009
223		1017
224		971
225		1045
226		1007
227		987
228		986
229		955
230		988
231		918
232		937
233		929
234		884
235		982
236		957
237		964
238		920
239		903
240		908
241		894
242		878
243		887
244		863
245		830
246		867
247		873
248		864
249		845
250		814
251		851
252		824
253		798
254		815
255		782
256		825
257		814
258		780
259		771
260		726
261		734
262		792
263		775
264		730
265		744
266		732
267		735
268		716
269		694
270		725
271		729
272		722
273		705
274		694
275		697
276		740
277		664
278		698
279		684
280		676
281		632
282		685
283		676
284		653
285		605
286		682
287		650
288		622
289		628
290		654
291		646
292		646
293		645
294		614
295		605
296		613
297		580
298		650
299		578
300		582
301		594
302		633
303		554
304		588
305		569
306		596
307		562
308		581
309		597
310		568
311		560
312		504
313		527
314		576
315		564
316		524
317		491
318		541
319		526
320		529
321		519
322		489
323		523
324		529
325		525
326		477
327		533
328		496
329		523
330		469
331		486
332		494
333		504
334		474
335		528
336		492
337		476
338		491
339		477
340		455
341		477
342		486
343		428
344		434
345		446
346		473
347		464
348		458
349		464
350		466
351		448
352		421
353		451
354		451
355		431
356		439
357		395
358		440
359		464
360		432
361		440
362		393
363		400
364		417
365		388
366		382
367		363
368		365
369		398
370		376
371		428
372		426
373		375
374		406
375		349
376		406
377		417
378		385
379		397
380		372
381		371
382		374
383		340
384		392
385		350
386		375
387		382
388		382
389		346
390		367
391		365
392		377
393		376
394		331
395		345
396		350
397		346
398		318
399		329
400		333
401		349
402		346
403		338
404		355
405		318
406		323
407		383
408		337
409		347
410		322
411		328
412		311
413		342
414		323
415		317
416		314
417		311
418		330
419		289
420		316
421		291
422		318
423		299
424		323
425		314
426		286
427		287
428		291
429		310
430		301
431		293
432		285
433		303
434		288
435		281
436		284
437		308
438		291
439		287
440		311
441		288
442		289
443		294
444		266
445		289
446		283
447		269
448		285
449		286
450		247
451		270
452		302
453		270
454		285
455		259
456		275
457		249
458		275
459		291
460		252
461		272
462		289
463		270
464		279
465		254
466		252
467		274
468		247
469		270
