Probabilidad		Pinf
0.000000		0.000000
0.020000		0.000000
0.040000		0.000000
0.060000		0.000095
0.080000		0.000083
0.100000		0.000167
0.120000		0.000368
0.140000		0.000569
0.160000		0.001262
0.180000		0.002039
0.200000		0.002694
0.220000		0.005424
0.240000		0.008164
0.260000		0.010505
0.280000		0.015484
0.300000		0.021231
0.320000		0.027438
0.340000		0.035509
0.360000		0.046785
0.380000		0.060942
0.400000		0.073042
0.420000		0.090056
0.440000		0.109389
0.460000		0.129856
0.480000		0.151468
0.500000		0.177407
0.520000		0.210250
0.540000		0.238111
0.560000		0.278708
0.580000		0.310421
0.600000		0.346921
0.620000		0.386530
0.640000		0.425822
0.660000		0.471123
0.680000		0.511789
0.700000		0.551188
0.720000		0.591153
0.740000		0.631500
0.760000		0.670093
0.780000		0.710019
0.800000		0.745243
0.820000		0.777326
0.840000		0.808583
0.860000		0.839787
0.880000		0.867067
0.900000		0.892088
0.920000		0.916944
0.940000		0.938282
0.960000		0.959259
0.980000		0.979870
