Proba		Pinf
0.100000		0.000074
0.112000		0.000231
0.124000		0.000407
0.136000		0.000336
0.148000		0.001095
0.160000		0.001252
0.172000		0.001650
0.184000		0.002329
0.196000		0.003227
0.208000		0.004014
0.220000		0.005030
0.232000		0.006150
0.244000		0.007875
0.256000		0.009688
0.268000		0.012912
0.280000		0.014854
0.292000		0.018111
0.304000		0.022606
0.316000		0.026500
0.328000		0.030796
0.340000		0.035049
0.352000		0.043792
0.364000		0.048750
0.376000		0.055697
0.388000		0.064090
0.400000		0.071428
0.412000		0.083093
0.424000		0.091352
0.436000		0.102956
0.448000		0.115722
0.460000		0.127988
0.472000		0.143132
0.484000		0.157086
0.496000		0.175046
0.508000		0.196502
0.520000		0.211181
0.532000		0.229412
0.544000		0.245449
0.556000		0.266278
0.568000		0.287558
0.580000		0.312326
0.592000		0.333870
0.604000		0.354273
0.616000		0.380697
0.628000		0.404053
0.640000		0.425424
0.652000		0.451211
0.664000		0.476583
0.676000		0.500720
0.688000		0.526558
